date,cpi
1/31/03,2.36
2/28/03,2.13
3/31/03,1.82
4/30/03,1.5
5/31/03,1.83
6/30/03,1.52
7/31/03,1.66
8/31/03,2.17
9/30/03,1.72
10/31/03,1.21
11/30/03,1.92
12/31/03,1.82
1/31/04,1.4
2/29/04,2.35
3/31/04,2.54
4/30/04,2.52
5/31/04,2.31
6/30/04,2.97
7/31/04,3.05
8/31/04,3.05
9/30/04,3.55
10/31/04,3.38
11/30/04,3.01
12/31/04,3.06
1/31/05,2.88
2/28/05,2.63
3/31/05,3.27
4/30/05,3.48
5/31/05,3.71
6/30/05,3.62
7/31/05,5.17
8/31/05,5.51
9/30/05,6
10/31/05,6.35
11/30/05,5.94
12/31/05,5.89
1/31/06,6.01
2/28/06,5.64
3/31/06,5.78
4/30/06,6.03
5/31/06,6.02
6/30/06,5.73
7/31/06,4.28
8/31/06,3.78
9/30/06,2.75
10/31/06,2.89
11/30/06,3.52
12/31/06,3.68
1/31/07,3.09
2/28/07,2.52
3/31/07,2
4/30/07,1.78
5/31/07,1.85
6/30/07,1.81
7/31/07,1.62
8/31/07,1.14
9/30/07,2.1
10/31/07,2.65
11/30/07,3.16
12/31/07,3.16
1/31/08,4.34
2/29/08,5.35
3/31/08,5.33
4/30/08,6
5/31/08,7.57
6/30/08,8.67
7/31/08,9.17
8/31/08,6.52
9/30/08,6.11
10/31/08,3.99
11/30/08,2.1
12/31/08,0.46
1/31/09,-0.53
2/28/09,-0.18
3/31/09,-0.29
4/30/09,-0.99
5/31/09,-3.29
6/30/09,-3.96
7/31/09,-4.32
8/31/09,-1.06
9/30/09,-0.91
10/31/09,0.39
11/30/09,1.94
12/31/09,3.46
1/31/10,3.98
2/28/10,3.55
3/31/10,3.33
4/30/10,2.96
5/31/10,3.51
6/30/10,3.44
7/31/10,3.61
8/31/10,3.32
9/30/10,3
10/31/10,2.91
11/30/10,2.75
12/31/10,2.98
1/31/11,2.9
2/28/11,2.78
3/31/11,3.04
4/30/11,4.11
5/31/11,4.32
6/30/11,4.21
7/31/11,4.2
8/31/11,4.33
9/30/11,4.02
10/31/11,4.17
11/30/11,4.14
12/31/11,3.42
1/31/12,3.27
2/29/12,3.28
3/31/12,3.41
4/30/12,2.53
5/31/12,2.6
6/30/12,2.66
7/31/12,2.81
8/31/12,2.76
9/30/12,3.38
10/31/12,3.27
11/30/12,2.66
12/31/12,3.55
1/31/13,3.31
2/28/13,3.2
3/31/13,2.68
4/30/13,2.49
5/31/13,2.29
6/30/13,2.3
7/31/13,2.03
8/31/13,1.63
9/30/13,1.4
10/31/13,1.41
11/30/13,1.88
12/31/13,1.66
1/31/14,1.93
2/28/14,1.95
3/31/14,2.12
4/30/14,2.48
5/31/14,2.62
6/30/14,2.35
7/31/14,2.16
8/31/14,2.12
9/30/14,1.73
10/31/14,1.45
11/30/14,1.24
12/31/14,0.62
