dateid01,dateid,i_on
2006-01-01,2006-01-31 23:59:59.999,2.360
2006-02-01,2006-02-28 23:59:59.999,3.032
2006-03-01,2006-03-31 23:59:59.999,2.880
2006-04-01,2006-04-30 23:59:59.999,5.564
2006-05-01,2006-05-31 23:59:59.999,5.290
2006-06-01,2006-06-30 23:59:59.999,4.258
2006-07-01,2006-07-31 23:59:59.999,3.442
2006-08-01,2006-08-31 23:59:59.999,3.340
2006-09-01,2006-09-30 23:59:59.999,3.380
2006-10-01,2006-10-31 23:59:59.999,3.536
2006-11-01,2006-11-30 23:59:59.999,3.805
2006-12-01,2006-12-31 23:59:59.999,3.369
2007-01-01,2007-01-31 23:59:59.999,3.331
2007-02-01,2007-02-28 23:59:59.999,2.754
2007-03-01,2007-03-31 23:59:59.999,3.396
2007-04-01,2007-04-30 23:59:59.999,3.574
2007-05-01,2007-05-31 23:59:59.999,3.215
2007-06-01,2007-06-30 23:59:59.999,3.489
2007-07-01,2007-07-31 23:59:59.999,3.123
2007-08-01,2007-08-31 23:59:59.999,3.076
2007-09-01,2007-09-30 23:59:59.999,3.241
2007-10-01,2007-10-31 23:59:59.999,3.428
2007-11-01,2007-11-30 23:59:59.999,3.919
2007-12-01,2007-12-31 23:59:59.999,4.616
2008-01-01,2008-01-31 23:59:59.999,2.828
2008-02-01,2008-02-29 23:59:59.999,6.420
2008-03-01,2008-03-31 23:59:59.999,9.023
2008-04-01,2008-04-30 23:59:59.999,13.722
2008-05-01,2008-05-31 23:59:59.999,12.058
2008-06-01,2008-06-30 23:59:59.999,11.169
2008-07-01,2008-07-31 23:59:59.999,4.646
2008-08-01,2008-08-31 23:59:59.999,8.402
2008-09-01,2008-09-30 23:59:59.999,6.454
2008-10-01,2008-10-31 23:59:59.999,13.408
2008-11-01,2008-11-30 23:59:59.999,20.762
2008-12-01,2008-12-31 23:59:59.999,17.918
2009-01-01,2009-01-31 23:59:59.999,21.444
2009-02-01,2009-02-28 23:59:59.999,35.058
2009-03-01,2009-03-31 23:59:59.999,22.437
2009-04-01,2009-04-30 23:59:59.999,4.522
2009-05-01,2009-05-31 23:59:59.999,3.450
2009-06-01,2009-06-30 23:59:59.999,2.353
2009-07-01,2009-07-31 23:59:59.999,2.051
2009-08-01,2009-08-31 23:59:59.999,2.756
2009-09-01,2009-09-30 23:59:59.999,2.792
2009-10-01,2009-10-31 23:59:59.999,2.591
2009-11-01,2009-11-30 23:59:59.999,2.846
2009-12-01,2009-12-31 23:59:59.999,2.302
2010-01-01,2010-01-31 23:59:59.999,2.172
2010-02-01,2010-02-28 23:59:59.999,1.774
2010-03-01,2010-03-31 23:59:59.999,1.376
2010-04-01,2010-04-30 23:59:59.999,1.252
2010-05-01,2010-05-31 23:59:59.999,1.237
2010-06-01,2010-06-30 23:59:59.999,1.260
2010-07-01,2010-07-31 23:59:59.999,1.115
2010-08-01,2010-08-31 23:59:59.999,1.095
2010-09-01,2010-09-30 23:59:59.999,1.538
2010-10-01,2010-10-31 23:59:59.999,1.639
2010-11-01,2010-11-30 23:59:59.999,1.617
2010-12-01,2010-12-31 23:59:59.999,3.502
2011-01-01,2011-01-31 23:59:59.999,1.642
2011-02-01,2011-02-28 23:59:59.999,1.613
2011-03-01,2011-03-31 23:59:59.999,1.912
2011-04-01,2011-04-30 23:59:59.999,1.711
2011-05-01,2011-05-31 23:59:59.999,3.144
2011-06-01,2011-06-30 23:59:59.999,2.556
2011-07-01,2011-07-31 23:59:59.999,2.843
2011-08-01,2011-08-31 23:59:59.999,5.603
2011-09-01,2011-09-30 23:59:59.999,4.994
2011-10-01,2011-10-31 23:59:59.999,9.551
2011-11-01,2011-11-30 23:59:59.999,9.040
2011-12-01,2011-12-31 23:59:59.999,4.954
2012-01-01,2012-01-31 23:59:59.999,2.790
2012-02-01,2012-02-29 23:59:59.999,4.314
2012-03-01,2012-03-31 23:59:59.999,2.359
2012-04-01,2012-04-30 23:59:59.999,2.155
2012-05-01,2012-05-31 23:59:59.999,4.322
2012-06-01,2012-06-30 23:59:59.999,9.487
2012-07-01,2012-07-31 23:59:59.999,9.814
2012-08-01,2012-08-31 23:59:59.999,10.713
2012-09-01,2012-09-30 23:59:59.999,7.495
2012-10-01,2012-10-31 23:59:59.999,16.527
2012-11-01,2012-11-30 23:59:59.999,15.008
2012-12-01,2012-12-31 23:59:59.999,5.839
2013-01-01,2013-01-31 23:59:59.999,3.635
2013-02-01,2013-02-28 23:59:59.999,2.325
2013-03-01,2013-03-31 23:59:59.999,2.256
2013-04-01,2013-04-30 23:59:59.999,2.609
2013-05-01,2013-05-31 23:59:59.999,2.824
2013-06-01,2013-06-30 23:59:59.999,2.203
2013-07-01,2013-07-31 23:59:59.999,2.536
2013-08-01,2013-08-31 23:59:59.999,3.163
2013-09-01,2013-09-30 23:59:59.999,2.746
2013-10-01,2013-10-31 23:59:59.999,4.137
2013-11-01,2013-11-30 23:59:59.999,4.958
2013-12-01,2013-12-31 23:59:59.999,8.882
2014-01-01,2014-01-31 23:59:59.999,5.446
2014-02-01,2014-02-28 23:59:59.999,11.992
2014-03-01,2014-03-31 23:59:59.999,7.901
2014-04-01,2014-04-30 23:59:59.999,9.173
2014-05-01,2014-05-31 23:59:59.999,8.584
2014-06-01,2014-06-30 23:59:59.999,7.709
2014-07-01,2014-07-31 23:59:59.999,8.341
2014-08-01,2014-08-31 23:59:59.999,11.915
2014-09-01,2014-09-30 23:59:59.999,12.948
2014-10-01,2014-10-31 23:59:59.999,13.996
2014-11-01,2014-11-30 23:59:59.999,15.711
2014-12-01,2014-12-31 23:59:59.999,NA
