dateid01,dateid,s_pln_eur
2000-01-01,2000-01-31 23:59:59.999,4.1250
2000-02-01,2000-02-29 23:59:59.999,4.0539
2000-03-01,2000-03-31 23:59:59.999,3.9650
2000-04-01,2000-04-30 23:59:59.999,4.0226
2000-05-01,2000-05-31 23:59:59.999,4.0894
2000-06-01,2000-06-30 23:59:59.999,4.2075
2000-07-01,2000-07-31 23:59:59.999,4.0108
2000-08-01,2000-08-31 23:59:59.999,3.9157
2000-09-01,2000-09-30 23:59:59.999,3.9960
2000-10-01,2000-10-31 23:59:59.999,3.9325
2000-11-01,2000-11-30 23:59:59.999,3.8824
2000-12-01,2000-12-31 23:59:59.999,3.8544
2001-01-01,2001-01-31 23:59:59.999,3.8015
2001-02-01,2001-02-28 23:59:59.999,3.7535
2001-03-01,2001-03-31 23:59:59.999,3.6170
2001-04-01,2001-04-30 23:59:59.999,3.5364
2001-05-01,2001-05-31 23:59:59.999,3.3969
2001-06-01,2001-06-30 23:59:59.999,3.3783
2001-07-01,2001-07-31 23:59:59.999,3.7110
2001-08-01,2001-08-31 23:59:59.999,3.8843
2001-09-01,2001-09-30 23:59:59.999,3.8810
2001-10-01,2001-10-31 23:59:59.999,3.7069
2001-11-01,2001-11-30 23:59:59.999,3.6223
2001-12-01,2001-12-31 23:59:59.999,3.5219
2002-01-01,2002-01-31 23:59:59.999,3.5929
2002-02-01,2002-02-28 23:59:59.999,3.6410
2002-03-01,2002-03-31 23:59:59.999,3.6036
2002-04-01,2002-04-30 23:59:59.999,3.5910
2002-05-01,2002-05-31 23:59:59.999,3.7782
2002-06-01,2002-06-30 23:59:59.999,4.0091
2002-07-01,2002-07-31 23:59:59.999,4.0810
2002-08-01,2002-08-31 23:59:59.999,4.0809
2002-09-01,2002-09-30 23:59:59.999,4.0782
2002-10-01,2002-10-31 23:59:59.999,3.9793
2002-11-01,2002-11-30 23:59:59.999,3.9809
2002-12-01,2002-12-31 23:59:59.999,4.0202
2003-01-01,2003-01-31 23:59:59.999,4.1286
2003-02-01,2003-02-28 23:59:59.999,4.2083
2003-03-01,2003-03-31 23:59:59.999,4.4052
2003-04-01,2003-04-30 23:59:59.999,4.2755
2003-05-01,2003-05-31 23:59:59.999,4.3915
2003-06-01,2003-06-30 23:59:59.999,4.4570
2003-07-01,2003-07-31 23:59:59.999,4.3879
2003-08-01,2003-08-31 23:59:59.999,4.3588
2003-09-01,2003-09-30 23:59:59.999,4.6435
2003-10-01,2003-10-31 23:59:59.999,4.6826
2003-11-01,2003-11-30 23:59:59.999,4.7127
2003-12-01,2003-12-31 23:59:59.999,4.7170
2004-01-01,2004-01-31 23:59:59.999,4.7614
2004-02-01,2004-02-29 23:59:59.999,4.8746
2004-03-01,2004-03-31 23:59:59.999,4.7455
2004-04-01,2004-04-30 23:59:59.999,4.8122
2004-05-01,2004-05-31 23:59:59.999,4.6509
2004-06-01,2004-06-30 23:59:59.999,4.5422
2004-07-01,2004-07-31 23:59:59.999,4.3759
2004-08-01,2004-08-31 23:59:59.999,4.4465
2004-09-01,2004-09-30 23:59:59.999,4.3832
2004-10-01,2004-10-31 23:59:59.999,4.3316
2004-11-01,2004-11-30 23:59:59.999,4.2150
2004-12-01,2004-12-31 23:59:59.999,4.0790
2005-01-01,2005-01-31 23:59:59.999,4.0503
2005-02-01,2005-02-28 23:59:59.999,3.9119
2005-03-01,2005-03-31 23:59:59.999,4.0837
2005-04-01,2005-04-30 23:59:59.999,4.2756
2005-05-01,2005-05-31 23:59:59.999,4.1212
2005-06-01,2005-06-30 23:59:59.999,4.0401
2005-07-01,2005-07-31 23:59:59.999,4.0758
2005-08-01,2005-08-31 23:59:59.999,4.0495
2005-09-01,2005-09-30 23:59:59.999,3.9166
2005-10-01,2005-10-31 23:59:59.999,3.9893
2005-11-01,2005-11-30 23:59:59.999,3.9053
2005-12-01,2005-12-31 23:59:59.999,3.8598
2006-01-01,2006-01-31 23:59:59.999,3.8285
2006-02-01,2006-02-28 23:59:59.999,3.7726
2006-03-01,2006-03-31 23:59:59.999,3.9357
2006-04-01,2006-04-30 23:59:59.999,3.8740
2006-05-01,2006-05-31 23:59:59.999,3.9472
2006-06-01,2006-06-30 23:59:59.999,4.0434
2006-07-01,2006-07-31 23:59:59.999,3.9321
2006-08-01,2006-08-31 23:59:59.999,3.9369
2006-09-01,2006-09-30 23:59:59.999,3.9835
2006-10-01,2006-10-31 23:59:59.999,3.8871
2006-11-01,2006-11-30 23:59:59.999,3.8166
2006-12-01,2006-12-31 23:59:59.999,3.8312
2007-01-01,2007-01-31 23:59:59.999,3.9320
2007-02-01,2007-02-28 23:59:59.999,3.9175
2007-03-01,2007-03-31 23:59:59.999,3.8695
2007-04-01,2007-04-30 23:59:59.999,3.7879
2007-05-01,2007-05-31 23:59:59.999,3.8190
2007-06-01,2007-06-30 23:59:59.999,3.7658
2007-07-01,2007-07-31 23:59:59.999,3.7900
2007-08-01,2007-08-31 23:59:59.999,3.8230
2007-09-01,2007-09-30 23:59:59.999,3.7775
2007-10-01,2007-10-31 23:59:59.999,3.6306
2007-11-01,2007-11-30 23:59:59.999,3.6267
2007-12-01,2007-12-31 23:59:59.999,3.5820
2008-01-01,2008-01-31 23:59:59.999,3.6260
2008-02-01,2008-02-29 23:59:59.999,3.5204
2008-03-01,2008-03-31 23:59:59.999,3.5258
2008-04-01,2008-04-30 23:59:59.999,3.4604
2008-05-01,2008-05-31 23:59:59.999,3.3788
