dateid01,dateid,cpi,gdp,infl,lgdp,lgdp_gap,mpr,rer,rer_gap
1/1/93,00:00.0,85.1,729128,2.173913043,13.49960458,-0.002061617,5.98,97.41,4.10496183
4/1/93,00:00.0,85.4,739668,1.706484642,13.51395672,0.000188253,4.54,95.27,2.521101057
7/1/93,00:00.0,85.7,744268,1.698754247,13.52015646,-0.005712977,4.23,93.41,1.214674683
10/1/93,00:00.0,86.1,753308,1.918735892,13.53222945,-0.005738506,4.27,92.41,0.761541419
1/1/94,00:00.0,85.5,766924,0.470035253,13.55014299,8.37E-05,3.84,91.54,0.426800803
4/1/94,00:00.0,85.3,777788,-0.117096019,13.56420927,0.002074205,5.66,87.75,-2.844923588
7/1/94,00:00.0,85.8,795948,0.116686114,13.58728914,0.013102084,5.32,86.96,-3.13927493
10/1/94,00:00.0,86.1,805676,0,13.59943696,0.013228703,5.19,87.06,-2.570118321
1/1/95,00:00.0,86.9,818704,1.637426901,13.61547788,0.017278002,7.5,84.83,-4.35935681
4/1/95,00:00.0,87.6,823456,2.696365768,13.6212654,0.011093989,7.73,84.81,-3.967287126
7/1/95,00:00.0,87.8,827748,2.331002331,13.62646404,0.004320923,6.47,87.24,-1.151481396
10/1/95,00:00.0,87.9,834948,2.090592334,13.63512473,0.000982513,6.03,88.37,0.342967805
1/1/96,00:00.0,88.2,838724,1.495972382,13.63963697,-0.006561643,5.35,88.05,0.371687578
4/1/96,00:00.0,88.8,846468,1.369863014,13.64882768,-0.009515155,4.8,88.64,1.30009067
7/1/96,00:00.0,89,859988,1.366742597,13.66467371,-0.005927586,4.29,88.18,1.173357522
10/1/96,00:00.0,89.7,874208,2.04778157,13.68107361,-0.001920881,3.22,89.76,3.085856021
1/1/97,00:00.0,90.1,885828,2.154195011,13.69427808,-0.001261102,3,90.19,3.851220703
4/1/97,00:00.0,90.2,893424,1.576576577,13.70281655,-0.005434387,3.01,88.66,2.661157444
7/1/97,00:00.0,90.5,906964,1.685393258,13.71785804,-0.003286508,3.25,89.07,3.414965108
10/1/97,00:00.0,90.6,919288,1.003344482,13.73135474,-0.002876652,3.7,87.65,2.340279336
1/1/98,00:00.0,91.1,929972,1.109877913,13.74290976,-0.004611043,4.59,86.87,1.902601415
4/1/98,00:00.0,91.1,932168,0.997782705,13.74526833,-0.015751982,4.75,86.09,1.455969957
7/1/98,00:00.0,91.2,934900,0.773480663,13.74819485,-0.02653974,5.12,82.5,-1.81676555
10/1/98,00:00.0,91.6,949880,1.103752759,13.76409094,-0.024567489,5.17,79.99,-4.033665602
1/1/99,00:00.0,91.9,968956,0.878155873,13.78397448,-0.018795569,5,81.92,-1.841655214
4/1/99,00:00.0,92.6,989172,1.646542261,13.80462351,-0.012408815,4.59,84.6,1.064861639
7/1/99,00:00.0,93.2,1014408,2.192982456,13.82981575,-0.001580617,4.5,83.6,0.252632016
10/1/99,00:00.0,93.8,1034844,2.401746725,13.84976125,0.003955709,4.62,84.09,0.887737439
1/1/00,00:00.0,94.4,1061500,2.720348205,13.87519356,0.014991339,4.94,85.72,2.616101532
4/1/00,00:00.0,94.8,1091420,2.375809935,13.90299016,0.028458902,5.49,84.74,1.683093087
7/1/00,00:00.0,95.7,1114248,2.682403433,13.9236903,0.034943433,5.75,84.95,1.882445829
10/1/00,00:00.0,96.7,1125496,3.091684435,13.93373439,0.03091334,5.75,83.04,-0.103158447
1/1/01,00:00.0,96.9,1140272,2.648305085,13.94677739,0.030029743,5.41,82.81,-0.482214477
4/1/01,00:00.0,98.2,1143228,3.58649789,13.9493664,0.018826569,4.7,82.58,-0.943152523
7/1/01,00:00.0,98.2,1129176,2.612330199,13.93699872,-0.007230807,4.11,82.14,-1.70410146
10/1/01,00:00.0,97.7,1126652,1.034126163,13.93476096,-0.023099481,2.73,80.33,-3.932600697
1/1/02,00:00.0,98.4,1146256,1.547987616,13.95201154,-0.019460215,2.04,80.07,-4.715124577
4/1/02,00:00.0,99.5,1172900,1.323828921,13.97498987,-0.010098327,2.29,81.66,-3.755689567
7/1/02,00:00.0,100.6,1190740,2.443991853,13.99008552,-0.008636846,2.71,80.42,-5.735365182
10/1/02,00:00.0,101.5,1213896,3.889457523,14.00934558,-0.003034942,2.75,80.11,-6.892873633
1/1/03,00:00.0,102.8,1236748,4.471544715,14.02799591,0.001932377,2.83,82.71,-5.243352524
4/1/03,00:00.0,102.2,1226376,2.713567839,14.01957404,-0.020196344,3.21,88.8,-0.197631416
7/1/03,00:00.0,102.8,1250652,2.186878728,14.03917557,-0.014325669,2.96,90,-0.123262772
10/1/03,00:00.0,103.2,1261540,1.674876847,14.04784375,-0.019399922,2.75,93.51,2.192324461
1/1/04,00:00.0,103.7,1285244,0.875486381,14.06645914,-0.014517149,2.47,92.63,0.061778378
4/1/04,00:00.0,104.5,1317244,2.250489237,14.09105223,-0.003613331,2.03,90.38,-3.483623128
7/1/04,00:00.0,104.8,1341116,1.945525292,14.10901266,0.000743756,2.06,93.81,-1.382640779
10/1/04,00:00.0,105.6,1356156,2.325581395,14.12016479,-0.001576678,2.45,99.64,3.098141971
1/1/05,00:00.0,106,1369004,2.217936355,14.12959403,-0.005444824,2.5,98.92,1.023005816
4/1/05,00:00.0,106.4,1389064,1.818181818,14.1441407,-0.003975,2.5,98.04,-1.205704887
7/1/05,00:00.0,107.5,1426936,2.576335878,14.17104005,0.010116819,2.57,101.95,1.373714839
10/1/05,00:00.0,108,1457836,2.272727273,14.1924637,0.019053519,3.03,104.97,3.093723538
1/1/06,00:00.0,108.7,1472772,2.547169811,14.2026569,0.017125268,3.51,106.49,3.355921181
4/1/06,00:00.0,109.1,1479332,2.537593985,14.20710119,0.009846656,4.04,109.02,4.679974161
7/1/06,00:00.0,109.2,1492184,1.581395349,14.21575138,0.007194795,4.25,108.96,3.473451423
10/1/06,00:00.0,109.5,1503384,1.388888889,14.22322913,0.003807531,4.25,107.03,0.460996927
1/1/07,00:00.0,110.7,1534276,1.839926403,14.24356917,0.013731265,4.25,103.94,-3.644916276
4/1/07,00:00.0,111.4,1563248,2.108157654,14.26227627,0.022480056,4.25,110.59,2.057896743
7/1/07,00:00.0,111.5,1570572,2.106227106,14.26695044,0.017654634,4.48,115.69,6.283898988
10/1/07,00:00.0,112.2,1595504,2.465753425,14.28270023,0.024350197,4.42,122.31,12.10626727
1/1/08,00:00.0,112.6,1625088,1.716350497,14.30107253,0.034089264,3.9,118.55,7.624250983
4/1/08,00:00.0,114.1,1666924,2.423698384,14.32649057,0.051255489,3.11,117.13,5.549533075
